GPU 0: NVIDIA GeForce RTX 3050 Laptop GPU with 4095.5 MB memory
Using device: cuda


=== [1/10] Creating EA Adversarial Image for D:\malnet-images\test\addisplay\adflex\1CD2B84FB821356A6F43474122263C0663C58EDD6C6F629D800EC0F9EAD731A9.png ===

--- Original Prediction Results ---
Predicted class: 4 (adware)

Confidence     : 0.4133

True class     : 0 (addisplay)

Target ('benign') class: 11 (benign)

[INFO] Benign class became best class at iteration 7747 with confidence 0.3065!

Failed to generate adversarial image in 10000 iterations.
Benign first became best at iteration 7747 with confidence 0.3065

Benign probability changes (iteration, prob):
Iteration 857: Benign prob = 0.0176
Iteration 868: Benign prob = 0.0184
Iteration 871: Benign prob = 0.0185
Iteration 876: Benign prob = 0.0194
Iteration 905: Benign prob = 0.0203
Iteration 910: Benign prob = 0.0204
Iteration 921: Benign prob = 0.0206
Iteration 989: Benign prob = 0.0210
Iteration 999: Benign prob = 0.0216
Iteration 1017: Benign prob = 0.0219
Iteration 1028: Benign prob = 0.0230
Iteration 1031: Benign prob = 0.0233
Iteration 1047: Benign prob = 0.0235
Iteration 1048: Benign prob = 0.0239
Iteration 1063: Benign prob = 0.0246
Iteration 1066: Benign prob = 0.0246
Iteration 1067: Benign prob = 0.0252
Iteration 1086: Benign prob = 0.0256
Iteration 1094: Benign prob = 0.0257
Iteration 1105: Benign prob = 0.0264
Iteration 1118: Benign prob = 0.0267
Iteration 1120: Benign prob = 0.0279
Iteration 1188: Benign prob = 0.0292
Iteration 1246: Benign prob = 0.0292
Iteration 1307: Benign prob = 0.0294
Iteration 1330: Benign prob = 0.0295
Iteration 1331: Benign prob = 0.0296
Iteration 1373: Benign prob = 0.0307
Iteration 1374: Benign prob = 0.0318
Iteration 1386: Benign prob = 0.0326
Iteration 1429: Benign prob = 0.0338
Iteration 1432: Benign prob = 0.0350
Iteration 1439: Benign prob = 0.0352
Iteration 1467: Benign prob = 0.0361
Iteration 1468: Benign prob = 0.0363
Iteration 1479: Benign prob = 0.0395
Iteration 1500: Benign prob = 0.0401
Iteration 1523: Benign prob = 0.0405
Iteration 1534: Benign prob = 0.0413
Iteration 1540: Benign prob = 0.0434
Iteration 1549: Benign prob = 0.0436
Iteration 1562: Benign prob = 0.0444
Iteration 1611: Benign prob = 0.0474
Iteration 1626: Benign prob = 0.0476
Iteration 1630: Benign prob = 0.0486
Iteration 1641: Benign prob = 0.0487
Iteration 1649: Benign prob = 0.0491
Iteration 1667: Benign prob = 0.0494
Iteration 1688: Benign prob = 0.0502
Iteration 1752: Benign prob = 0.0509
Iteration 1783: Benign prob = 0.0512
Iteration 1784: Benign prob = 0.0522
Iteration 1785: Benign prob = 0.0522
Iteration 1787: Benign prob = 0.0525
Iteration 1788: Benign prob = 0.0553
Iteration 1832: Benign prob = 0.0553
Iteration 1907: Benign prob = 0.0558
Iteration 1917: Benign prob = 0.0570
Iteration 1921: Benign prob = 0.0576
Iteration 1926: Benign prob = 0.0579
Iteration 1932: Benign prob = 0.0590
Iteration 1995: Benign prob = 0.0596
Iteration 2018: Benign prob = 0.0629
Iteration 2048: Benign prob = 0.0635
Iteration 2124: Benign prob = 0.0638
Iteration 2127: Benign prob = 0.0652
Iteration 2130: Benign prob = 0.0657
Iteration 2143: Benign prob = 0.0658
Iteration 2159: Benign prob = 0.0659
Iteration 2189: Benign prob = 0.0661
Iteration 2219: Benign prob = 0.0665
Iteration 2238: Benign prob = 0.0675
Iteration 2281: Benign prob = 0.0677
Iteration 2321: Benign prob = 0.0725
Iteration 2322: Benign prob = 0.0726
Iteration 2357: Benign prob = 0.0738
Iteration 2393: Benign prob = 0.0747
Iteration 2490: Benign prob = 0.0780
Iteration 2495: Benign prob = 0.0781
Iteration 2577: Benign prob = 0.0814
Iteration 2587: Benign prob = 0.0829
Iteration 2694: Benign prob = 0.0840
Iteration 2816: Benign prob = 0.0848
Iteration 2828: Benign prob = 0.0854
Iteration 2839: Benign prob = 0.0856
Iteration 2878: Benign prob = 0.0865
Iteration 2881: Benign prob = 0.0879
Iteration 2902: Benign prob = 0.0885
Iteration 2915: Benign prob = 0.0887
Iteration 2940: Benign prob = 0.0902
Iteration 2978: Benign prob = 0.0905
Iteration 3023: Benign prob = 0.0909
Iteration 3054: Benign prob = 0.0909
Iteration 3063: Benign prob = 0.0929
Iteration 3131: Benign prob = 0.0931
Iteration 3132: Benign prob = 0.0933
Iteration 3149: Benign prob = 0.0953
Iteration 3173: Benign prob = 0.0981
Iteration 3181: Benign prob = 0.0983
Iteration 3185: Benign prob = 0.1004
Iteration 3222: Benign prob = 0.1026
Iteration 3281: Benign prob = 0.1046
Iteration 3315: Benign prob = 0.1051
Iteration 3346: Benign prob = 0.1058
Iteration 3360: Benign prob = 0.1058
Iteration 3446: Benign prob = 0.1068
Iteration 3455: Benign prob = 0.1071
Iteration 3466: Benign prob = 0.1097
Iteration 3471: Benign prob = 0.1101
Iteration 3502: Benign prob = 0.1107
Iteration 3566: Benign prob = 0.1136
Iteration 3616: Benign prob = 0.1149
Iteration 3621: Benign prob = 0.1153
Iteration 3629: Benign prob = 0.1166
Iteration 3666: Benign prob = 0.1169
Iteration 3705: Benign prob = 0.1192
Iteration 3753: Benign prob = 0.1196
Iteration 3768: Benign prob = 0.1226
Iteration 3773: Benign prob = 0.1231
Iteration 3824: Benign prob = 0.1242
Iteration 3861: Benign prob = 0.1269
Iteration 3882: Benign prob = 0.1273
Iteration 3906: Benign prob = 0.1283
Iteration 3959: Benign prob = 0.1294
Iteration 4017: Benign prob = 0.1330
Iteration 4026: Benign prob = 0.1358
Iteration 4068: Benign prob = 0.1366
Iteration 4086: Benign prob = 0.1374
Iteration 4117: Benign prob = 0.1393
Iteration 4178: Benign prob = 0.1396
Iteration 4179: Benign prob = 0.1412
Iteration 4185: Benign prob = 0.1457
Iteration 4199: Benign prob = 0.1485
Iteration 4226: Benign prob = 0.1492
Iteration 4229: Benign prob = 0.1499
Iteration 4327: Benign prob = 0.1508
Iteration 4359: Benign prob = 0.1510
Iteration 4378: Benign prob = 0.1513
Iteration 4393: Benign prob = 0.1522
Iteration 4412: Benign prob = 0.1525
Iteration 4444: Benign prob = 0.1535
Iteration 4456: Benign prob = 0.1541
Iteration 4531: Benign prob = 0.1560
Iteration 4588: Benign prob = 0.1560
Iteration 4616: Benign prob = 0.1581
Iteration 4666: Benign prob = 0.1593
Iteration 4711: Benign prob = 0.1611
Iteration 4757: Benign prob = 0.1626
Iteration 4868: Benign prob = 0.1675
Iteration 4874: Benign prob = 0.1685
Iteration 4934: Benign prob = 0.1689
Iteration 4958: Benign prob = 0.1707
Iteration 5033: Benign prob = 0.1713
Iteration 5059: Benign prob = 0.1737
Iteration 5167: Benign prob = 0.1760
Iteration 5210: Benign prob = 0.1763
Iteration 5324: Benign prob = 0.1784
Iteration 5345: Benign prob = 0.1794
Iteration 5349: Benign prob = 0.1846
Iteration 5526: Benign prob = 0.1868
Iteration 5533: Benign prob = 0.1935
Iteration 5573: Benign prob = 0.1998
Iteration 5675: Benign prob = 0.2008
Iteration 5686: Benign prob = 0.2009
Iteration 5713: Benign prob = 0.2020
Iteration 5721: Benign prob = 0.2043
Iteration 5765: Benign prob = 0.2051
Iteration 5776: Benign prob = 0.2062
Iteration 5813: Benign prob = 0.2095
Iteration 5844: Benign prob = 0.2108
Iteration 5857: Benign prob = 0.2121
Iteration 5858: Benign prob = 0.2147
Iteration 5937: Benign prob = 0.2175
Iteration 6002: Benign prob = 0.2184
Iteration 6021: Benign prob = 0.2186
Iteration 6123: Benign prob = 0.2187
Iteration 6140: Benign prob = 0.2195
